RuntimeLogger 2026-09-10 09:44:38,168 INFO (thrift-server-pool-17|421) [DatabaseTransactionMgr.commitTransaction():825] transaction:[TransactionState. transaction id: 15041, label: open_telemetry_otel_otel_metrics_sum_20260910094438_d7491358-a516-45ff-97f6-d3131160b946, db id: 1787644432799, table id list: 1787644433158, callback id: -1, coordinator: BE: 10.42.0.75, transaction status: COMMITTED, error replicas num: 0, replica ids: , prepare time: 1789033478114, commit time: 1789033478164, finish time: -1, reason: , table commit info: {1787644433158=TableCommitInfo{tableId=1787644433158, idToPartitionCommitInfo={1787644433205=partitionId=1787644433205, version=3365, versionTime=1789033478164, isTemp=false}, version=0, versionTime=0}}] successfully committed
RuntimeLogger 2026-09-10 09:44:38,169 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.genPublishTask():169] send publish tasks for transaction: 15041, db: 1787644432799
RuntimeLogger 2026-09-10 09:44:38,179 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.tryFinishTxnAsync():245] try to finish transaction 15041, dbId: 1787644432799, txnId: 15041
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [OlapTable.updateVisibleVersionAndTime():3322] updateVisibleVersionAndTime, tableName: otel_metrics_sum, visibleVersion, 3365, visibleVersionTime: 1789033478179
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.updateUpdatedRows():1240] Update rows transactionId is 15041
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.replayUpdateRowsRecord():1359] Update rows for table otel_metrics_sum is 476, replicaNum is 1, rows for all replica 476, tablets count 1
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [MTMVService.processEvent():189] processEvent, Event: TableEvent{ctlId=0, ctlName='internal', dbId=1787644432799, dbName='otel', tableId=1787644433158, tableName='otel_metrics_sum'} Event{eventId=1787644449783, eventTime=1789033478184, eventType=DATA_CHANGE}
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [DatabaseTransactionMgr.finishTransaction():1215] finish transaction TransactionState. transaction id: 15041, label: open_telemetry_otel_otel_metrics_sum_20260910094438_d7491358-a516-45ff-97f6-d3131160b946, db id: 1787644432799, table id list: 1787644433158, callback id: -1, coordinator: BE: 10.42.0.75, transaction status: VISIBLE, error replicas num: 0, replica ids: , prepare time: 1789033478114, commit time: 1789033478164, finish time: 1789033478179, reason: , table commit info: {1787644433158=TableCommitInfo{tableId=1787644433158, idToPartitionCommitInfo={1787644433205=partitionId=1787644433205, version=3365, versionTime=1789033478164, isTemp=false}, version=3365, versionTime=1789033478179}} successfully, publish times 1, publish result QUORUM_SUCC
RuntimeLogger 2026-09-10 09:44:38,200 INFO (thrift-server-pool-27|444) [DatabaseTransactionMgr.commitTransaction():825] transaction:[TransactionState. transaction id: 15042, label: open_telemetry_otel_otel_metrics_gauge_20260910094438_657df5dc-0431-4907-86d5-9f0762f6b0d9, db id: 1787644432799, table id list: 1787644433071, callback id: -1, coordinator: BE: 10.42.0.74, transaction status: COMMITTED, error replicas num: 0, replica ids: , prepare time: 1789033478134, commit time: 1789033478196, finish time: -1, reason: , table commit info: {1787644433071=TableCommitInfo{tableId=1787644433071, idToPartitionCommitInfo={1787644433116=partitionId=1787644433116, version=3365, versionTime=1789033478196, isTemp=false}, version=0, versionTime=0}}] successfully committed
RuntimeLogger 2026-09-10 09:44:38,201 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.genPublishTask():169] send publish tasks for transaction: 15042, db: 1787644432799
RuntimeLogger 2026-09-10 09:44:38,211 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.tryFinishTxnAsync():245] try to finish transaction 15042, dbId: 1787644432799, txnId: 15042
RuntimeLogger 2026-09-10 09:44:38,215 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [OlapTable.updateVisibleVersionAndTime():3322] updateVisibleVersionAndTime, tableName: otel_metrics_gauge, visibleVersion, 3365, visibleVersionTime: 1789033478211
RuntimeLogger 2026-09-10 09:44:38,215 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.updateUpdatedRows():1240] Update rows transactionId is 15042
RuntimeLogger 2026-09-10 09:44:38,215 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.replayUpdateRowsRecord():1359] Update rows for table otel_metrics_gauge is 1021, replicaNum is 1, rows for all replica 1021, tablets count 1
RuntimeLogger 2026-09-10 09:44:38,215 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [MTMVService.processEvent():189] processEvent, Event: TableEvent{ctlId=0, ctlName='internal', dbId=1787644432799, dbName='otel', tableId=1787644433071, tableName='otel_metrics_gauge'} Event{eventId=1787644449784, eventTime=1789033478215, eventType=DATA_CHANGE}
RuntimeLogger 2026-09-10 09:44:38,215 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [DatabaseTransactionMgr.finishTransaction():1215] finish transaction TransactionState. transaction id: 15042, label: open_telemetry_otel_otel_metrics_gauge_20260910094438_657df5dc-0431-4907-86d5-9f0762f6b0d9, db id: 1787644432799, table id list: 1787644433071, callback id: -1, coordinator: BE: 10.42.0.74, transaction status: VISIBLE, error replicas num: 0, replica ids: , prepare time: 1789033478134, commit time: 1789033478196, finish time: 1789033478211, reason: , table commit info: {1787644433071=TableCommitInfo{tableId=1787644433071, idToPartitionCommitInfo={1787644433116=partitionId=1787644433116, version=3365, versionTime=1789033478196, isTemp=false}, version=3365, versionTime=1789033478211}} successfully, publish times 1, publish result QUORUM_SUCC
AuditLogger 2026-09-10 09:44:35,102 [query] |Client=10.42.0.143:51234|User=root|Ctl=default_cluster|Db=otel|State=EOF|ErrorCode=0|ErrorMessage=|Time(ms)=12|ScanBytes=0|ScanRows=0|ReturnRows=1|StmtId=1187|QueryId=8f2c1e7a9b3d4c6e-a1b2c3d4e5f60718|IsQuery=true|isNereids=true|feIp=10.42.0.140|Stmt=select service_name, count(*) from otel_logs where timestamp > now() - interval 5 minute group by 1|CpuTimeMS=3|SqlHash=2b7e3f1a|peakMemoryBytes=1048576|SqlDigest=7a1c9e2d|cloudClusterName=|TraceId=|WorkloadGroup=normal|FuzzyVariables=|scanBytesFromLocalStorage=0|scanBytesFromRemoteStorage=0
